customer_id,primary_store_id,region_tier,age,income_bracket,digital_literacy_score,registration_date
CUST000028,STR0063,Tier 2,31,25-50K,6.272556071405676,2023-01-27
CUST000029,STR0095,Tier 3,43,25-50K,3.9272943733832717,2023-01-15
CUST000030,STR0012,Metro,29,75K+,9.64742502539432,2023-12-19
CUST000031,STR0005,Metro,48,50-75K,7.5848551757915805,2023-01-22
CUST000032,STR0032,Metro,30,75K+,6.495444196881644,2023-01-24
CUST000033,STR0037,Metro,44,50-75K,7.9757276740499226,2023-08-19
CUST000034,STR0038,Metro,18,50-75K,7.2394350370132745,2024-02-08
CUST000035,STR0028,Metro,26,25-50K,8.384976849225257,2023-06-06
CUST000036,STR0011,Metro,36,25-50K,4.654657790594499,2023-04-08
CUST000037,STR0040,Metro,36,75K+,9.485419095708819,2023-08-09
CUST000038,STR0001,Metro,32,50-75K,7.662002699865511,2023-05-26
CUST000039,STR0018,Metro,28,75K+,8.619668201510073,2023-02-18
CUST000040,STR0031,Metro,23,50-75K,6.569197689553689,2023-06-16
CUST000041,STR0058,Tier 2,27,25-50K,7.788126422526901,2023-11-29
CUST000042,STR0049,Tier 2,34,15-25K,4.195276660986328,2024-03-24
CUST000043,STR0008,Metro,26,50-75K,7.6382256666002535,2023-11-17
CUST000044,STR0072,Tier 2,61,15-25K,6.46080670847066,2023-09-09
CUST000045,STR0071,Tier 2,18,15-25K,3.635998813437248,2023-02-03
CUST000046,STR0023,Metro,31,25-50K,4.072650851409325,2023-05-13
CUST000047,STR0014,Metro,43,75K+,8.870618728540826,2024-01-15
CUST000048,STR0011,Metro,46,25-50K,4.988888894376623,2023-01-29
CUST000049,STR0080,Tier 2,37,15-25K,6.804953800140469,2023-02-23
CUST000050,STR0055,Tier 2,49,25-50K,7.024944998403849,2023-06-08
CUST000051,STR0010,Metro,36,50-75K,7.518874553132242,2023-07-17
CUST000052,STR0025,Metro,25,75K+,5.497277199097036,2023-12-02
CUST000053,STR0029,Metro,34,75K+,5.0980926654083625,2023-06-10
CUST000054,STR0018,Metro,30,25-50K,8.717669196304199,2024-03-23
CUST000055,STR0029,Metro,24,50-75K,5.175044875521513,2023-08-26
CUST000056,STR0010,Metro,23,50-75K,4.973400434694876,2023-10-10
CUST000057,STR0048,Tier 2,35,15-25K,6.38088781037717,2023-03-07
CUST000058,STR0019,Metro,33,50-75K,5.360382297541064,2023-11-24
CUST000059,STR0031,Metro,32,25-50K,8.947208848522193,2023-11-05
CUST000060,STR0006,Metro,27,50-75K,6.607575765152271,2023-02-16
CUST000061,STR0005,Metro,30,25-50K,7.664680426454609,2023-08-25
CUST000062,STR0010,Metro,18,25-50K,8.31057537891241,2023-09-07
CUST000063,STR0072,Tier 2,37,50-75K,7.956316133668166,2023-09-15
CUST000064,STR0019,Metro,45,50-75K,5.001161210192517,2024-02-25
CUST000065,STR0081,Tier 2,34,15-25K,7.177401181911638,2023-02-06
CUST000066,STR0106,Tier 3,22,15-25K,6.386936607593584,2023-01-21
CUST000067,STR0099,Tier 3,50,10-15K,6.952548971374425,2023-01-05
CUST000068,STR0042,Tier 2,35,50-75K,4.103727442263908,2023-07-27
CUST000069,STR0046,Tier 2,39,25-50K,5.885203322309554,2023-10-17
CUST000070,STR0020,Metro,18,50-75K,7.157670762029216,2023-06-27
CUST000071,STR0066,Tier 2,33,15-25K,7.681605769845784,2023-06-28
CUST000072,STR0039,Metro,37,25-50K,7.312416187920267,2023-04-10
CUST000073,STR0120,Tier 3,49,15-25K,5.719028639331187,2023-10-30
CUST000074,STR0058,Tier 2,40,25-50K,4.740477965841441,2023-05-06
CUST000075,STR0054,Tier 2,47,25-50K,3.7348135479410485,2023-06-30
CUST000076,STR0012,Metro,36,75K+,8.758857243980437,2023-01-11
CUST000077,STR0033,Metro,34,75K+,8.706525148020505,2023-06-05
CUST000078,STR0037,Metro,40,50-75K,9.083630006331155,2023-09-14
CUST000079,STR0018,Metro,25,50-75K,4.19685774477165,2023-11-20
CUST000080,STR0012,Metro,23,50-75K,8.451377961752291,2024-02-01
CUST000081,STR0026,Metro,22,25-50K,4.589409953134483,2023-07-17
CUST000082,STR0093,Tier 3,34,10-15K,5.79490317049887,2024-02-17
CUST000083,STR0066,Tier 2,41,25-50K,7.389922484924174,2023-03-10
CUST000084,STR0029,Metro,30,25-50K,7.632896015286428,2023-04-08
CUST000085,STR0040,Metro,30,50-75K,8.206837566504841,2023-01-25
CUST000086,STR0012,Metro,34,50-75K,8.910217398888024,2023-04-21
CUST000087,STR0057,Tier 2,30,50-75K,6.189771313423694,2023-08-18
CUST000088,STR0008,Metro,42,75K+,4.0477864284727065,2023-05-20
CUST000089,STR0008,Metro,35,25-50K,8.163697543060941,2023-04-22
CUST000090,STR0039,Metro,24,50-75K,6.471188442504976,2024-03-24
CUST000091,STR0014,Metro,31,50-75K,8.74934921554822,2023-07-25
CUST000092,STR0001,Metro,41,50-75K,8.336426513432828,2023-05-02
CUST000093,STR0024,Metro,33,75K+,5.8414270791674205,2024-03-20
CUST000094,STR0084,Tier 2,46,15-25K,3.4419247349225937,2023-12-23
CUST000095,STR0078,Tier 2,34,25-50K,5.8309034561253545,2023-10-31
CUST000096,STR0012,Metro,30,50-75K,9.16627179701987,2023-06-19
CUST000097,STR0069,Tier 2,39,50-75K,5.922498977653952,2024-03-08
CUST000098,STR0002,Metro,33,75K+,8.90184344363102,2023-03-05
CUST000099,STR0099,Tier 3,32,10-15K,7.3232946092907,2024-01-18
CUST000100,STR0018,Metro,34,50-75K,8.449848711016253,2024-03-22
CUST000101,STR0050,Tier 2,36,50-75K,6.979631935717512,2023-07-09
CUST000102,STR0096,Tier 3,26,10-15K,6.802878212276411,2023-09-29
CUST000103,STR0045,Tier 2,54,15-25K,5.782281029127282,2023-08-01
CUST000104,STR0052,Tier 2,43,15-25K,5.213990682718688,2024-01-20
CUST000105,STR0028,Metro,41,25-50K,5.143658998446699,2023-06-07
CUST000106,STR0093,Tier 3,23,10-15K,7.132755370957321,2023-03-02
CUST000107,STR0072,Tier 2,35,15-25K,7.17295476297636,2023-03-19
CUST000108,STR0101,Tier 3,29,15-25K,7.692410791070773,2024-02-23
CUST000109,STR0021,Metro,33,50-75K,6.419263799102937,2023-08-18
CUST000110,STR0022,Metro,37,50-75K,7.716060724821468,2023-09-08
CUST000111,STR0076,Tier 2,33,50-75K,6.655786722274586,2023-05-24
CUST000112,STR0037,Metro,31,50-75K,8.16283334180447,2024-03-11
CUST000113,STR0031,Metro,25,25-50K,9.938538480456007,2023-03-18
CUST000114,STR0094,Tier 3,37,15-25K,7.959813736193216,2023-11-17
CUST000115,STR0078,Tier 2,42,15-25K,5.32668466969743,2023-07-20
CUST000116,STR0078,Tier 2,34,15-25K,3.005560470980937,2023-05-03
CUST000117,STR0034,Metro,32,75K+,6.3042558303466025,2024-03-25
CUST000118,STR0059,Tier 2,44,25-50K,6.368508667710782,2024-03-16
CUST000119,STR0029,Metro,36,50-75K,6.151729491721548,2023-04-27
CUST000120,STR0005,Metro,24,50-75K,7.889400812847076,2024-02-26
CUST000121,STR0031,Metro,23,25-50K,9.272615498757487,2023-12-21
CUST000122,STR0036,Metro,34,25-50K,8.886320675612568,2023-06-10
CUST000123,STR0070,Tier 2,39,15-25K,5.990045586643748,2024-01-31
CUST000124,STR0033,Metro,26,75K+,8.778906335977485,2024-01-03
CUST000125,STR0051,Tier 2,46,25-50K,6.138727074486682,2024-03-14
CUST000126,STR0050,Tier 2,28,25-50K,4.771885914930676,2023-04-25
CUST000127,STR0043,Tier 2,18,25-50K,3.1197313263524173,2023-05-22
CUST000128,STR0015,Metro,31,25-50K,8.989244718025994,2023-02-08
CUST000129,STR0047,Tier 2,55,15-25K,6.790202105056083,2023-11-04
CUST000130,STR0016,Metro,32,50-75K,8.591163002526352,2023-09-27
CUST000131,STR0011,Metro,41,75K+,8.8716774078273,2023-10-03
CUST000132,STR0031,Metro,21,50-75K,6.17789704242323,2023-09-30
CUST000133,STR0010,Metro,27,50-75K,9.215049144418524,2023-04-04
CUST000134,STR0014,Metro,18,75K+,9.257154869617336,2023-11-23
CUST000135,STR0107,Tier 3,34,25-50K,5.4161603793771755,2023-04-16
CUST000136,STR0053,Tier 2,50,15-25K,3.103790160619821,2023-04-24
CUST000137,STR0025,Metro,38,25-50K,7.282272073693466,2023-07-17
CUST000138,STR0044,Tier 2,48,25-50K,4.7797888673532025,2023-03-12
CUST000139,STR0043,Tier 2,31,50-75K,3.8084727663699343,2024-01-03
CUST000140,STR0071,Tier 2,27,25-50K,4.7582493617095265,2023-10-25
CUST000141,STR0071,Tier 2,47,15-25K,7.8105105208251375,2024-02-21
CUST000142,STR0041,Tier 2,39,50-75K,4.700021930299461,2023-06-04
CUST000143,STR0109,Tier 3,38,15-25K,5.411370000407718,2023-12-25
CUST000144,STR0064,Tier 2,33,15-25K,6.623481271309123,2023-10-21
CUST000145,STR0034,Metro,30,50-75K,9.16479362149297,2023-09-03
CUST000146,STR0067,Tier 2,26,50-75K,4.884930836434208,2023-09-15
CUST000147,STR0027,Metro,19,50-75K,9.083616459776342,2023-05-31
CUST000148,STR0104,Tier 3,33,25-50K,3.1622553839533785,2023-05-23
CUST000149,STR0046,Tier 2,37,25-50K,3.08330235622108,2024-03-21
CUST000150,STR0079,Tier 2,45,25-50K,7.289288917587445,2024-02-18
CUST000151,STR0082,Tier 2,18,15-25K,7.437122676851802,2024-01-20
CUST000152,STR0057,Tier 2,61,50-75K,3.0309191132044835,2023-11-18
CUST000153,STR0116,Tier 3,26,15-25K,7.085955253633205,2023-10-06
CUST000154,STR0038,Metro,35,75K+,4.746531321111361,2023-06-28
CUST000155,STR0102,Tier 3,51,10-15K,3.0135407491022606,2023-09-09
CUST000156,STR0036,Metro,36,75K+,6.510074844962548,2023-11-20
CUST000157,STR0021,Metro,38,25-50K,8.510788981521598,2023-12-02
CUST000158,STR0054,Tier 2,36,25-50K,5.291817397131531,2023-08-27
CUST000159,STR0008,Metro,20,75K+,5.581308876980667,2023-03-05
CUST000160,STR0069,Tier 2,47,50-75K,7.905224311272328,2024-01-24
CUST000161,STR0012,Metro,18,50-75K,4.548119456341335,2023-06-03
CUST000162,STR0043,Tier 2,27,50-75K,5.893782381799996,2023-11-22
CUST000163,STR0045,Tier 2,43,50-75K,3.827100760642047,2023-03-16
CUST000164,STR0030,Metro,31,25-50K,9.542388375260657,2023-06-30
CUST000165,STR0006,Metro,24,50-75K,9.642983191078065,2023-03-10
CUST000166,STR0086,Tier 3,38,25-50K,4.0571562899945555,2023-07-15
CUST000167,STR0015,Metro,30,75K+,8.391236423719004,2023-06-20
CUST000168,STR0019,Metro,41,50-75K,9.291853330843644,2024-01-02
CUST000169,STR0089,Tier 3,37,10-15K,6.505721099833267,2023-04-27
CUST000170,STR0051,Tier 2,30,50-75K,7.663011037518219,2023-10-18
CUST000171,STR0031,Metro,39,25-50K,4.957998096202904,2023-11-30
CUST000172,STR0074,Tier 2,40,25-50K,3.0718647588888883,2023-01-02
CUST000173,STR0064,Tier 2,46,50-75K,3.496188324598405,2023-09-11
CUST000174,STR0031,Metro,29,75K+,8.991649250128313,2023-01-18
CUST000175,STR0071,Tier 2,34,15-25K,6.613843380053979,2023-04-11
CUST000176,STR0002,Metro,19,75K+,9.191767355206148,2023-04-10
CUST000177,STR0078,Tier 2,34,50-75K,3.0792592111593815,2023-05-31
CUST000178,STR0027,Metro,48,50-75K,8.696474045508321,2023-02-16
CUST000179,STR0027,Metro,24,50-75K,4.634830149139085,2023-02-22
CUST000180,STR0035,Metro,36,50-75K,7.980942070772261,2023-07-25
CUST000181,STR0007,Metro,31,25-50K,6.336608080466039,2023-07-18
CUST000182,STR0059,Tier 2,40,50-75K,4.187430211810999,2023-08-05
CUST000183,STR0045,Tier 2,42,25-50K,5.517567556489983,2023-02-02
CUST000184,STR0082,Tier 2,28,15-25K,7.36680558920719,2023-05-25
CUST000185,STR0068,Tier 2,25,15-25K,5.647668075112287,2023-02-15
CUST000186,STR0045,Tier 2,36,15-25K,5.640888607115086,2023-08-01
CUST000187,STR0079,Tier 2,28,25-50K,3.934536482250591,2023-03-18
CUST000188,STR0101,Tier 3,29,15-25K,4.203407948629427,2023-01-10
CUST000189,STR0034,Metro,35,25-50K,6.222948622357086,2023-12-10
CUST000190,STR0035,Metro,33,25-50K,4.774390748974378,2023-12-22
CUST000191,STR0113,Tier 3,36,15-25K,4.279362704061064,2023-09-23
CUST000192,STR0016,Metro,25,75K+,9.361059828359908,2023-03-29
CUST000193,STR0010,Metro,36,50-75K,5.701288065457886,2024-02-20
CUST000194,STR0077,Tier 2,40,15-25K,4.686795391786398,2024-03-20
CUST000195,STR0017,Metro,23,25-50K,4.984381529592011,2023-10-14
CUST000196,STR0105,Tier 3,25,15-25K,7.252900986532997,2023-12-20
CUST000197,STR0018,Metro,29,75K+,9.157017853749387,2023-09-22
CUST000198,STR0043,Tier 2,29,15-25K,7.1872544741736695,2023-09-04
CUST000199,STR0027,Metro,41,25-50K,9.619967827508086,2024-01-31
CUST000200,STR0032,Metro,32,50-75K,6.471679291673582,2024-03-03
CUST000201,STR0099,Tier 3,28,25-50K,3.4655357825419504,2023-05-05
CUST000202,STR0061,Tier 2,42,15-25K,6.46938267660808,2023-11-06
CUST000203,STR0091,Tier 3,34,15-25K,5.753452723473973,2023-07-12
CUST000204,STR0035,Metro,26,50-75K,9.327027535557281,2024-01-21
CUST000205,STR0011,Metro,37,25-50K,4.227855805417639,2024-02-15
CUST000206,STR0033,Metro,52,50-75K,9.444779058078552,2023-11-13
CUST000207,STR0039,Metro,29,75K+,9.341324023327337,2023-07-11
CUST000208,STR0045,Tier 2,37,15-25K,7.5726307690102805,2023-01-27
CUST000209,STR0021,Metro,28,75K+,9.83232084774093,2023-03-14
CUST000210,STR0021,Metro,26,50-75K,6.369671116128773,2023-12-03
CUST000211,STR0008,Metro,32,50-75K,5.701043141625636,2024-03-06
CUST000212,STR0061,Tier 2,20,15-25K,6.038479517488041,2023-03-02
CUST000213,STR0017,Metro,31,50-75K,5.010643306791492,2023-08-16
CUST000214,STR0044,Tier 2,29,50-75K,4.431295176915916,2024-01-19
CUST000215,STR0048,Tier 2,40,15-25K,5.771503529239762,2023-03-20
CUST000216,STR0008,Metro,23,75K+,9.764288510018904,2023-05-27
CUST000217,STR0096,Tier 3,34,10-15K,6.393300469134485,2023-09-05
CUST000218,STR0120,Tier 3,18,15-25K,7.977418053666099,2023-09-05
CUST000219,STR0037,Metro,34,50-75K,8.490438066430228,2023-08-09
CUST000220,STR0016,Metro,35,75K+,4.050128225032831,2023-07-09
CUST000221,STR0007,Metro,26,75K+,9.043795868914751,2023-08-19
CUST000222,STR0023,Metro,40,25-50K,5.959731434488052,2023-08-25
CUST000223,STR0003,Metro,31,75K+,9.014698425127607,2023-10-20
CUST000224,STR0017,Metro,32,50-75K,9.615965074010667,2024-02-29
CUST000225,STR0021,Metro,22,25-50K,7.402196701007365,2024-03-25
CUST000226,STR0020,Metro,29,50-75K,7.390195149855699,2023-06-23
CUST000227,STR0014,Metro,40,50-75K,8.073405053381244,2024-01-14
CUST000228,STR0040,Metro,29,50-75K,4.422208647436176,2023-07-10
CUST000229,STR0029,Metro,39,25-50K,6.973923525299483,2023-07-13
CUST000230,STR0059,Tier 2,41,25-50K,7.127654116733747,2024-02-15
CUST000231,STR0083,Tier 2,26,15-25K,7.701985169727721,2023-02-05
CUST000232,STR0041,Tier 2,40,25-50K,7.157869629552263,2023-06-20
CUST000233,STR0018,Metro,24,50-75K,9.479798269600202,2023-09-24
CUST000234,STR0012,Metro,35,50-75K,9.050852254172913,2023-05-28
CUST000235,STR0062,Tier 2,18,15-25K,5.403240141562045,2023-10-22
CUST000236,STR0054,Tier 2,24,15-25K,4.600931097020276,2023-09-16
CUST000237,STR0024,Metro,31,25-50K,5.573829588306637,2024-01-12
CUST000238,STR0100,Tier 3,35,10-15K,6.532749011414134,2023-04-09
CUST000239,STR0085,Tier 2,44,15-25K,4.675042849788479,2024-03-21
CUST000240,STR0009,Metro,29,75K+,4.978688050700073,2023-12-31
CUST000241,STR0096,Tier 3,21,15-25K,4.259073510045658,2024-02-28
CUST000242,STR0028,Metro,46,75K+,8.03367297684448,2024-01-31
CUST000243,STR0038,Metro,27,50-75K,8.270092356130515,2024-01-08
CUST000244,STR0060,Tier 2,24,25-50K,5.63903681779415,2023-09-06
CUST000245,STR0066,Tier 2,40,25-50K,7.847784376115927,2023-03-24
CUST000246,STR0042,Tier 2,34,15-25K,5.938516141707383,2023-01-08
CUST000247,STR0004,Metro,33,75K+,5.6222994118639384,2023-09-27
CUST000248,STR0088,Tier 3,35,15-25K,7.705677924252235,2024-01-17
CUST000249,STR0008,Metro,30,50-75K,4.135025964572119,2023-01-04
CUST000250,STR0032,Metro,22,50-75K,9.291128804924096,2023-12-29
CUST000251,STR0008,Metro,38,75K+,7.257048246004448,2023-06-14
CUST000252,STR0021,Metro,30,75K+,5.700766895584475,2023-10-02
CUST000253,STR0021,Metro,18,25-50K,6.987857815524359,2023-09-21
CUST000254,STR0094,Tier 3,19,10-15K,3.940292832395378,2023-10-27
CUST000255,STR0031,Metro,41,75K+,9.655616202908481,2023-06-21
CUST000256,STR0079,Tier 2,45,15-25K,4.63783146961063,2024-02-13
CUST000257,STR0029,Metro,34,75K+,4.346729182119185,2023-12-24
CUST000258,STR0082,Tier 2,28,15-25K,4.957271353972356,2023-11-05
CUST000259,STR0001,Metro,36,75K+,5.204972501049525,2023-01-28
CUST000260,STR0069,Tier 2,43,50-75K,6.902609013785109,2023-03-25
CUST000261,STR0003,Metro,19,50-75K,6.3403963944857695,2024-03-05
CUST000262,STR0100,Tier 3,25,10-15K,5.127816828591758,2023-12-09
CUST000263,STR0019,Metro,46,50-75K,7.780207465254629,2023-01-17
CUST000264,STR0015,Metro,33,25-50K,7.12342326579504,2023-11-02
CUST000265,STR0026,Metro,36,75K+,5.068121945753622,2023-11-22
CUST000266,STR0020,Metro,38,75K+,4.718948552255603,2023-04-26
CUST000267,STR0033,Metro,34,50-75K,8.13556981279573,2023-02-24
CUST000268,STR0119,Tier 3,43,10-15K,3.6739289245871904,2023-12-19
CUST000269,STR0079,Tier 2,40,25-50K,7.958894391673466,2023-01-13
CUST000270,STR0022,Metro,24,25-50K,7.788264618372575,2023-04-22
CUST000271,STR0021,Metro,21,25-50K,7.206313385411579,2023-12-13
CUST000272,STR0036,Metro,30,25-50K,7.247128335142146,2023-04-21
CUST000273,STR0096,Tier 3,36,15-25K,4.986210657334176,2023-03-09
CUST000274,STR0012,Metro,44,50-75K,8.044008226419121,2024-03-18
CUST000275,STR0075,Tier 2,29,50-75K,7.063784266485798,2023-05-18
CUST000276,STR0009,Metro,33,75K+,8.663115456637659,2023-02-28
CUST000277,STR0067,Tier 2,18,25-50K,4.293408869007142,2023-01-30
CUST000278,STR0109,Tier 3,18,15-25K,4.480319203562929,2023-08-27
CUST000279,STR0008,Metro,27,50-75K,6.787073503024464,2023-02-13
CUST000280,STR0006,Metro,38,50-75K,7.520922670441382,2023-03-20
CUST000281,STR0069,Tier 2,42,25-50K,3.766480802576937,2023-10-13
CUST000282,STR0029,Metro,24,50-75K,8.8177978066514,2023-06-25
CUST000283,STR0107,Tier 3,29,10-15K,4.2464767500230565,2023-01-10
CUST000284,STR0065,Tier 2,25,25-50K,4.427625358576698,2023-06-24
CUST000285,STR0031,Metro,26,25-50K,8.310761069939002,2023-01-14
CUST000286,STR0015,Metro,24,25-50K,6.9511412283588845,2023-02-13
CUST000287,STR0067,Tier 2,50,15-25K,4.0557901871596345,2023-10-15
CUST000288,STR0027,Metro,33,50-75K,7.576180965698807,2023-03-08
CUST000289,STR0035,Metro,30,75K+,6.2059482763546505,2023-08-31
CUST000290,STR0033,Metro,24,25-50K,6.233471771116428,2023-10-16
CUST000291,STR0047,Tier 2,34,15-25K,6.771156616747743,2023-06-07
CUST000292,STR0027,Metro,31,25-50K,7.968028683017276,2024-02-08
CUST000293,STR0001,Metro,31,25-50K,6.912069382806509,2023-09-02
CUST000294,STR0037,Metro,26,50-75K,9.194205953944023,2023-11-25
CUST000295,STR0100,Tier 3,21,15-25K,4.457584640755962,2023-10-13
CUST000296,STR0109,Tier 3,52,15-25K,6.51395510688923,2023-06-22
CUST000297,STR0071,Tier 2,35,50-75K,4.688779935661145,2023-07-01
CUST000298,STR0029,Metro,34,50-75K,7.751302351917113,2023-12-10
CUST000299,STR0050,Tier 2,45,25-50K,3.105961231139264,2023-07-17
CUST000300,STR0022,Metro,30,50-75K,9.771865928404756,2023-03-13
CUST000301,STR0067,Tier 2,32,15-25K,4.368549585864213,2023-10-27
CUST000302,STR0023,Metro,31,50-75K,6.3051651095558645,2023-10-25
CUST000303,STR0050,Tier 2,43,50-75K,4.178435571653547,2023-01-13
CUST000304,STR0025,Metro,24,50-75K,8.977134491730247,2023-04-08
CUST000305,STR0114,Tier 3,56,10-15K,7.522369636406438,2023-06-18
CUST000306,STR0036,Metro,44,50-75K,6.372430063178246,2023-07-29
CUST000307,STR0037,Metro,40,75K+,9.837139628262058,2023-05-16
CUST000308,STR0017,Metro,38,50-75K,9.043320140507586,2023-07-04
CUST000309,STR0020,Metro,25,75K+,6.590396943057095,2023-08-21
CUST000310,STR0104,Tier 3,50,15-25K,6.793970713521564,2023-05-23
CUST000311,STR0030,Metro,30,75K+,7.5417944305335975,2024-03-25
CUST000312,STR0023,Metro,41,25-50K,8.080857057470062,2023-02-27
CUST000313,STR0026,Metro,25,50-75K,6.184164815287398,2023-12-14
CUST000314,STR0061,Tier 2,42,15-25K,4.226450468218215,2023-01-09
CUST000315,STR0026,Metro,33,75K+,6.867343965674498,2024-02-16
CUST000316,STR0023,Metro,33,50-75K,6.234813633472649,2023-02-09
CUST000317,STR0015,Metro,35,25-50K,8.503143884180494,2023-02-22
CUST000318,STR0037,Metro,24,75K+,7.05449984013971,2023-11-25
CUST000319,STR0004,Metro,29,25-50K,8.899723024552818,2023-06-03
CUST000320,STR0027,Metro,23,25-50K,8.884401435707602,2024-03-23
CUST000321,STR0001,Metro,38,25-50K,9.132915728175746,2023-06-07
CUST000322,STR0043,Tier 2,29,50-75K,7.025056495408618,2023-08-15
CUST000323,STR0097,Tier 3,33,15-25K,6.305001494104265,2023-11-29
CUST000324,STR0034,Metro,22,75K+,6.8816015539937645,2023-04-15
CUST000325,STR0080,Tier 2,37,25-50K,3.9547442943772144,2023-07-30
CUST000326,STR0034,Metro,27,25-50K,5.631790646668495,2023-05-05
CUST000327,STR0073,Tier 2,34,25-50K,4.572587861045526,2023-04-20
CUST000328,STR0078,Tier 2,32,25-50K,7.510880799887419,2023-03-19
CUST000329,STR0098,Tier 3,52,10-15K,4.62375304483601,2023-06-21
CUST000330,STR0035,Metro,41,75K+,9.006267181938446,2023-10-31
CUST000331,STR0004,Metro,33,50-75K,6.541514961274473,2023-06-22
CUST000332,STR0042,Tier 2,36,15-25K,3.1702225310013232,2023-01-08
CUST000333,STR0022,Metro,19,75K+,5.52421239068505,2023-09-12
CUST000334,STR0029,Metro,30,50-75K,6.655534139946752,2023-09-16
CUST000335,STR0042,Tier 2,33,15-25K,3.0873406513950132,2023-08-23
CUST000336,STR0009,Metro,31,50-75K,9.885060209343392,2023-03-07
CUST000337,STR0032,Metro,38,50-75K,5.7451836107781915,2023-09-16
CUST000338,STR0077,Tier 2,52,15-25K,5.611916527133676,2023-09-01
CUST000339,STR0107,Tier 3,34,10-15K,3.355005397526951,2023-02-25
CUST000340,STR0007,Metro,24,75K+,6.289446326953106,2023-09-01
CUST000341,STR0028,Metro,31,50-75K,7.676803432816785,2023-05-13
CUST000342,STR0113,Tier 3,27,15-25K,7.587129264022506,2023-02-21
CUST000343,STR0037,Metro,38,25-50K,5.239078989578704,2023-08-05
CUST000344,STR0028,Metro,30,50-75K,8.36375486343741,2023-08-04
CUST000345,STR0005,Metro,26,50-75K,7.204610140515193,2023-03-30
CUST000346,STR0004,Metro,23,50-75K,7.594075822687674,2023-12-22
CUST000347,STR0023,Metro,23,50-75K,6.627986487373325,2023-11-17
CUST000348,STR0005,Metro,40,75K+,7.085925594345468,2023-12-02
CUST000349,STR0006,Metro,22,50-75K,6.2407853007563325,2023-08-04
CUST000350,STR0086,Tier 3,32,25-50K,3.8237051918163596,2023-06-16
CUST000351,STR0031,Metro,40,75K+,6.876883787146005,2023-06-10
CUST000352,STR0071,Tier 2,39,25-50K,4.750194506929764,2023-07-11
CUST000353,STR0001,Metro,38,50-75K,5.908664454449902,2024-03-21
CUST000354,STR0087,Tier 3,26,10-15K,3.6806822017525564,2023-10-31
CUST000355,STR0007,Metro,26,25-50K,7.192944909909014,2023-09-21
CUST000356,STR0012,Metro,28,75K+,5.348584868652137,2023-02-17
CUST000357,STR0026,Metro,30,75K+,8.85076173686289,2024-01-08
CUST000358,STR0023,Metro,25,50-75K,9.251974495827447,2023-03-29
CUST000359,STR0048,Tier 2,39,50-75K,6.866381113334075,2023-04-10
CUST000360,STR0012,Metro,31,50-75K,5.051049182225086,2024-03-24
CUST000361,STR0028,Metro,41,75K+,5.101379469683962,2024-03-03
CUST000362,STR0035,Metro,19,75K+,9.170891056875446,2023-05-17
CUST000363,STR0079,Tier 2,26,25-50K,3.0455497194110084,2024-03-22
CUST000364,STR0074,Tier 2,35,50-75K,6.232152889960016,2024-01-21
CUST000365,STR0103,Tier 3,38,15-25K,4.875271934427681,2024-02-04
CUST000366,STR0009,Metro,32,50-75K,7.971506380947558,2023-02-28
CUST000367,STR0004,Metro,35,75K+,4.383538985151633,2024-02-23
CUST000368,STR0080,Tier 2,32,25-50K,6.4273629252267055,2023-02-08
