inventory_id,store_id,product_id,current_stock,reorder_point,stockout_days_last_month,avg_daily_sales,last_restock_date
INV000094,STR0003,PRD0016,241,72,0,8.03,2024-09-21
INV000095,STR0003,PRD0017,68,20,3,2.27,2024-09-23
INV000096,STR0003,PRD0018,153,45,4,5.1,2024-09-07
INV000097,STR0003,PRD0019,234,70,2,7.8,2024-09-14
INV000098,STR0003,PRD0020,185,55,4,6.17,2024-09-07
INV000099,STR0003,PRD0021,204,61,1,6.8,2024-09-03
INV000100,STR0003,PRD0022,244,73,0,8.13,2024-09-03
INV000101,STR0003,PRD0023,290,87,1,9.67,2024-09-24
INV000102,STR0003,PRD0024,112,33,1,3.73,2024-09-11
INV000103,STR0003,PRD0025,76,22,4,2.53,2024-09-01
INV000104,STR0003,PRD0026,125,37,2,4.17,2024-09-01
INV000105,STR0003,PRD0027,275,82,2,9.17,2024-09-08
INV000106,STR0003,PRD0028,277,83,1,9.23,2024-09-17
INV000107,STR0003,PRD0029,256,76,4,8.53,2024-09-17
INV000108,STR0003,PRD0030,152,45,1,5.07,2024-09-06
INV000109,STR0003,PRD0031,161,48,0,5.37,2024-09-09
INV000110,STR0003,PRD0032,132,39,1,4.4,2024-09-28
INV000111,STR0003,PRD0033,262,78,4,8.73,2024-09-09
INV000112,STR0003,PRD0034,233,69,0,7.77,2024-09-02
INV000113,STR0003,PRD0035,166,49,0,5.53,2024-09-21
INV000114,STR0003,PRD0036,256,76,0,8.53,2024-09-24
INV000115,STR0003,PRD0037,265,79,4,8.83,2024-09-29
INV000116,STR0003,PRD0038,289,86,0,9.63,2024-09-11
INV000117,STR0003,PRD0039,245,73,0,8.17,2024-09-15
INV000118,STR0004,PRD0001,204,61,1,6.8,2024-09-09
INV000119,STR0004,PRD0002,157,47,2,5.23,2024-09-04
INV000120,STR0004,PRD0003,64,19,2,2.13,2024-09-10
INV000121,STR0004,PRD0004,180,54,1,6.0,2024-09-27
INV000122,STR0004,PRD0005,279,83,2,9.3,2024-09-14
INV000123,STR0004,PRD0006,119,35,0,3.97,2024-09-06
INV000124,STR0004,PRD0007,235,70,4,7.83,2024-09-13
INV000125,STR0004,PRD0008,105,31,3,3.5,2024-09-19
INV000126,STR0004,PRD0009,282,84,2,9.4,2024-09-20
INV000127,STR0004,PRD0010,50,15,3,1.67,2024-09-14
INV000128,STR0004,PRD0011,184,55,0,6.13,2024-09-22
INV000129,STR0004,PRD0012,277,83,2,9.23,2024-09-16
INV000130,STR0004,PRD0013,152,45,3,5.07,2024-09-23
INV000131,STR0004,PRD0014,122,36,0,4.07,2024-09-07
INV000132,STR0004,PRD0015,156,46,3,5.2,2024-09-01
INV000133,STR0004,PRD0016,175,52,3,5.83,2024-09-18
INV000134,STR0004,PRD0017,136,40,0,4.53,2024-09-18
INV000135,STR0004,PRD0018,51,15,1,1.7,2024-09-24
INV000136,STR0004,PRD0019,168,50,4,5.6,2024-09-13
INV000137,STR0004,PRD0020,72,21,2,2.4,2024-09-01
INV000138,STR0004,PRD0021,215,64,3,7.17,2024-09-11
INV000139,STR0004,PRD0022,209,62,2,6.97,2024-09-23
INV000140,STR0004,PRD0023,70,21,0,2.33,2024-09-01
INV000141,STR0004,PRD0024,233,69,2,7.77,2024-09-19
INV000142,STR0004,PRD0025,198,59,1,6.6,2024-09-07
INV000143,STR0004,PRD0026,208,62,1,6.93,2024-09-14
INV000144,STR0004,PRD0027,174,52,1,5.8,2024-09-02
INV000145,STR0004,PRD0028,78,23,3,2.6,2024-09-07
INV000146,STR0004,PRD0029,268,80,2,8.93,2024-09-01
INV000147,STR0004,PRD0030,191,57,2,6.37,2024-09-11
INV000148,STR0004,PRD0031,207,62,4,6.9,2024-09-17
INV000149,STR0004,PRD0032,168,50,4,5.6,2024-09-23
INV000150,STR0004,PRD0033,272,81,2,9.07,2024-09-19
INV000151,STR0004,PRD0034,267,80,2,8.9,2024-09-10
INV000152,STR0004,PRD0035,58,17,0,1.93,2024-09-16
INV000153,STR0004,PRD0036,57,17,3,1.9,2024-09-03
INV000154,STR0004,PRD0037,100,30,0,3.33,2024-09-26
INV000155,STR0004,PRD0038,100,30,3,3.33,2024-09-04
INV000156,STR0004,PRD0039,205,61,4,6.83,2024-09-26
INV000157,STR0005,PRD0001,142,42,2,4.73,2024-09-18
INV000158,STR0005,PRD0002,209,62,0,6.97,2024-09-15
INV000159,STR0005,PRD0003,205,61,4,6.83,2024-09-04
INV000160,STR0005,PRD0004,267,80,1,8.9,2024-09-14
INV000161,STR0005,PRD0005,125,37,3,4.17,2024-09-17
INV000162,STR0005,PRD0006,171,51,0,5.7,2024-09-19
INV000163,STR0005,PRD0007,135,40,3,4.5,2024-09-03
INV000164,STR0005,PRD0008,267,80,4,8.9,2024-09-26
INV000165,STR0005,PRD0009,187,56,3,6.23,2024-09-15
INV000166,STR0005,PRD0010,271,81,3,9.03,2024-09-04
INV000167,STR0005,PRD0011,83,24,3,2.77,2024-09-09
INV000168,STR0005,PRD0012,262,78,3,8.73,2024-09-25
INV000169,STR0005,PRD0013,150,45,4,5.0,2024-09-02
INV000170,STR0005,PRD0014,266,79,0,8.87,2024-09-20
INV000171,STR0005,PRD0015,222,66,0,7.4,2024-09-02
INV000172,STR0005,PRD0016,177,53,4,5.9,2024-09-09
INV000173,STR0005,PRD0017,200,60,3,6.67,2024-09-27
INV000174,STR0005,PRD0018,239,71,1,7.97,2024-09-12
INV000175,STR0005,PRD0019,270,81,4,9.0,2024-09-09
INV000176,STR0005,PRD0020,57,17,2,1.9,2024-09-26
INV000177,STR0005,PRD0021,230,69,0,7.67,2024-09-20
INV000178,STR0005,PRD0022,259,77,0,8.63,2024-09-23
INV000179,STR0005,PRD0023,292,87,4,9.73,2024-09-18
INV000180,STR0005,PRD0024,113,33,2,3.77,2024-09-20
INV000181,STR0005,PRD0025,215,64,3,7.17,2024-09-27
INV000182,STR0005,PRD0026,160,48,0,5.33,2024-09-04
INV000183,STR0005,PRD0027,197,59,0,6.57,2024-09-17
INV000184,STR0005,PRD0028,101,30,4,3.37,2024-09-26
INV000185,STR0005,PRD0029,262,78,2,8.73,2024-09-11
INV000186,STR0005,PRD0030,229,68,4,7.63,2024-09-27
INV000187,STR0005,PRD0031,174,52,0,5.8,2024-09-22
INV000188,STR0005,PRD0032,270,81,0,9.0,2024-09-20
INV000189,STR0005,PRD0033,290,87,1,9.67,2024-09-17
INV000190,STR0005,PRD0034,137,41,1,4.57,2024-09-18
INV000191,STR0005,PRD0035,72,21,2,2.4,2024-09-18
INV000192,STR0005,PRD0036,238,71,0,7.93,2024-09-20
INV000193,STR0005,PRD0037,147,44,0,4.9,2024-09-05
INV000194,STR0005,PRD0038,253,75,0,8.43,2024-09-17
INV000195,STR0005,PRD0039,296,88,3,9.87,2024-09-22
INV000196,STR0006,PRD0001,186,55,3,6.2,2024-09-28
INV000197,STR0006,PRD0002,196,58,0,6.53,2024-09-05
INV000198,STR0006,PRD0003,106,31,4,3.53,2024-09-12
INV000199,STR0006,PRD0004,117,35,4,3.9,2024-09-29
INV000200,STR0006,PRD0005,146,43,0,4.87,2024-09-12
INV000201,STR0006,PRD0006,147,44,4,4.9,2024-09-15
INV000202,STR0006,PRD0007,220,66,3,7.33,2024-09-29
INV000203,STR0006,PRD0008,152,45,0,5.07,2024-09-09
INV000204,STR0006,PRD0009,154,46,2,5.13,2024-09-05
INV000205,STR0006,PRD0010,257,77,1,8.57,2024-09-11
INV000206,STR0006,PRD0011,187,56,0,6.23,2024-09-12
INV000207,STR0006,PRD0012,210,63,1,7.0,2024-09-10
INV000208,STR0006,PRD0013,232,69,0,7.73,2024-09-07
INV000209,STR0006,PRD0014,273,81,2,9.1,2024-09-29
INV000210,STR0006,PRD0015,90,27,2,3.0,2024-09-08
INV000211,STR0006,PRD0016,232,69,2,7.73,2024-09-01
INV000212,STR0006,PRD0017,200,60,0,6.67,2024-09-09
INV000213,STR0006,PRD0018,260,78,1,8.67,2024-09-29
INV000214,STR0006,PRD0019,151,45,3,5.03,2024-09-08
INV000215,STR0006,PRD0020,197,59,2,6.57,2024-09-04
INV000216,STR0006,PRD0021,181,54,4,6.03,2024-09-21
INV000217,STR0006,PRD0022,121,36,0,4.03,2024-09-01
INV000218,STR0006,PRD0023,94,28,3,3.13,2024-09-14
INV000219,STR0006,PRD0024,80,24,0,2.67,2024-09-11
INV000220,STR0006,PRD0025,90,27,1,3.0,2024-09-02
INV000221,STR0006,PRD0026,152,45,3,5.07,2024-09-14
INV000222,STR0006,PRD0027,80,24,1,2.67,2024-09-27
INV000223,STR0006,PRD0028,143,42,3,4.77,2024-09-11
INV000224,STR0006,PRD0029,215,64,2,7.17,2024-09-23
INV000225,STR0006,PRD0030,112,33,1,3.73,2024-09-01
INV000226,STR0006,PRD0031,264,79,4,8.8,2024-09-02
INV000227,STR0006,PRD0032,104,31,3,3.47,2024-09-14
INV000228,STR0006,PRD0033,207,62,1,6.9,2024-09-20
INV000229,STR0006,PRD0034,68,20,0,2.27,2024-09-22
INV000230,STR0006,PRD0035,260,78,2,8.67,2024-09-14
INV000231,STR0006,PRD0036,218,65,3,7.27,2024-09-22
INV000232,STR0006,PRD0037,212,63,0,7.07,2024-09-08
INV000233,STR0006,PRD0038,264,79,1,8.8,2024-09-21
INV000234,STR0006,PRD0039,93,27,3,3.1,2024-09-26
INV000235,STR0007,PRD0001,230,69,0,7.67,2024-09-07
INV000236,STR0007,PRD0002,172,51,2,5.73,2024-09-15
INV000237,STR0007,PRD0003,222,66,2,7.4,2024-09-05
INV000238,STR0007,PRD0004,166,49,2,5.53,2024-09-23
INV000239,STR0007,PRD0005,274,82,2,9.13,2024-09-09
INV000240,STR0007,PRD0006,265,79,3,8.83,2024-09-15
INV000241,STR0007,PRD0007,139,41,3,4.63,2024-09-12
INV000242,STR0007,PRD0008,246,73,3,8.2,2024-09-23
INV000243,STR0007,PRD0009,73,21,2,2.43,2024-09-03
INV000244,STR0007,PRD0010,185,55,2,6.17,2024-09-19
INV000245,STR0007,PRD0011,284,85,2,9.47,2024-09-06
INV000246,STR0007,PRD0012,136,40,4,4.53,2024-09-11
INV000247,STR0007,PRD0013,154,46,1,5.13,2024-09-07
INV000248,STR0007,PRD0014,113,33,4,3.77,2024-09-27
INV000249,STR0007,PRD0015,93,27,4,3.1,2024-09-22
INV000250,STR0007,PRD0016,204,61,1,6.8,2024-09-29
INV000251,STR0007,PRD0017,89,26,4,2.97,2024-09-25
INV000252,STR0007,PRD0018,103,30,1,3.43,2024-09-03
INV000253,STR0007,PRD0019,207,62,3,6.9,2024-09-27
INV000254,STR0007,PRD0020,184,55,2,6.13,2024-09-03
INV000255,STR0007,PRD0021,135,40,0,4.5,2024-09-05
INV000256,STR0007,PRD0022,213,63,1,7.1,2024-09-08
INV000257,STR0007,PRD0023,297,89,0,9.9,2024-09-24
INV000258,STR0007,PRD0024,63,18,3,2.1,2024-09-20
INV000259,STR0007,PRD0025,263,78,4,8.77,2024-09-24
INV000260,STR0007,PRD0026,269,80,1,8.97,2024-09-07
INV000261,STR0007,PRD0027,59,17,2,1.97,2024-09-02
INV000262,STR0007,PRD0028,97,29,1,3.23,2024-09-02
INV000263,STR0007,PRD0029,144,43,4,4.8,2024-09-16
INV000264,STR0007,PRD0030,261,78,2,8.7,2024-09-08
INV000265,STR0007,PRD0031,80,24,0,2.67,2024-09-28
INV000266,STR0007,PRD0032,195,58,1,6.5,2024-09-27
INV000267,STR0007,PRD0033,66,19,3,2.2,2024-09-18
INV000268,STR0007,PRD0034,224,67,2,7.47,2024-09-01
INV000269,STR0007,PRD0035,85,25,1,2.83,2024-09-19
INV000270,STR0007,PRD0036,103,30,0,3.43,2024-09-04
INV000271,STR0007,PRD0037,133,39,3,4.43,2024-09-18
INV000272,STR0007,PRD0038,109,32,1,3.63,2024-09-19
INV000273,STR0007,PRD0039,100,30,1,3.33,2024-09-02
INV000274,STR0008,PRD0001,199,59,3,6.63,2024-09-09
INV000275,STR0008,PRD0002,55,16,0,1.83,2024-09-29
INV000276,STR0008,PRD0003,105,31,4,3.5,2024-09-19
INV000277,STR0008,PRD0004,191,57,4,6.37,2024-09-22
INV000278,STR0008,PRD0005,100,30,3,3.33,2024-09-01
INV000279,STR0008,PRD0006,94,28,1,3.13,2024-09-29
INV000280,STR0008,PRD0007,117,35,3,3.9,2024-09-03
INV000281,STR0008,PRD0008,233,69,1,7.77,2024-09-14
INV000282,STR0008,PRD0009,126,37,1,4.2,2024-09-03
INV000283,STR0008,PRD0010,248,74,3,8.27,2024-09-22
INV000284,STR0008,PRD0011,172,51,2,5.73,2024-09-24
INV000285,STR0008,PRD0012,144,43,1,4.8,2024-09-14
INV000286,STR0008,PRD0013,133,39,1,4.43,2024-09-05
INV000287,STR0008,PRD0014,269,80,2,8.97,2024-09-12
INV000288,STR0008,PRD0015,135,40,4,4.5,2024-09-08
INV000289,STR0008,PRD0016,108,32,4,3.6,2024-09-29
INV000290,STR0008,PRD0017,108,32,0,3.6,2024-09-06
INV000291,STR0008,PRD0018,57,17,3,1.9,2024-09-13
INV000292,STR0008,PRD0019,289,86,4,9.63,2024-09-14
INV000293,STR0008,PRD0020,107,32,4,3.57,2024-09-22
INV000294,STR0008,PRD0021,136,40,1,4.53,2024-09-24
INV000295,STR0008,PRD0022,231,69,1,7.7,2024-09-28
INV000296,STR0008,PRD0023,71,21,0,2.37,2024-09-03
INV000297,STR0008,PRD0024,282,84,3,9.4,2024-09-21
INV000298,STR0008,PRD0025,210,63,2,7.0,2024-09-17
INV000299,STR0008,PRD0026,127,38,2,4.23,2024-09-11
INV000300,STR0008,PRD0027,87,26,0,2.9,2024-09-21
INV000301,STR0008,PRD0028,102,30,4,3.4,2024-09-27
INV000302,STR0008,PRD0029,275,82,3,9.17,2024-09-16
INV000303,STR0008,PRD0030,66,19,2,2.2,2024-09-10
INV000304,STR0008,PRD0031,299,89,2,9.97,2024-09-25
INV000305,STR0008,PRD0032,186,55,0,6.2,2024-09-12
INV000306,STR0008,PRD0033,160,48,0,5.33,2024-09-13
INV000307,STR0008,PRD0034,164,49,3,5.47,2024-09-18
INV000308,STR0008,PRD0035,289,86,3,9.63,2024-09-08
INV000309,STR0008,PRD0036,51,15,2,1.7,2024-09-03
INV000310,STR0008,PRD0037,247,74,3,8.23,2024-09-16
INV000311,STR0008,PRD0038,230,69,0,7.67,2024-09-01
INV000312,STR0008,PRD0039,273,81,1,9.1,2024-09-14
INV000313,STR0009,PRD0001,122,36,2,4.07,2024-09-03
INV000314,STR0009,PRD0002,260,78,4,8.67,2024-09-20
INV000315,STR0009,PRD0003,219,65,2,7.3,2024-09-14
INV000316,STR0009,PRD0004,231,69,2,7.7,2024-09-08
INV000317,STR0009,PRD0005,242,72,4,8.07,2024-09-12
INV000318,STR0009,PRD0006,199,59,0,6.63,2024-09-01
INV000319,STR0009,PRD0007,286,85,4,9.53,2024-09-25
INV000320,STR0009,PRD0008,175,52,0,5.83,2024-09-21
INV000321,STR0009,PRD0009,182,54,2,6.07,2024-09-18
INV000322,STR0009,PRD0010,104,31,1,3.47,2024-09-23
INV000323,STR0009,PRD0011,217,65,3,7.23,2024-09-12
INV000324,STR0009,PRD0012,266,79,3,8.87,2024-09-24
INV000325,STR0009,PRD0013,127,38,3,4.23,2024-09-27
INV000326,STR0009,PRD0014,242,72,4,8.07,2024-09-16
INV000327,STR0009,PRD0015,263,78,3,8.77,2024-09-06
INV000328,STR0009,PRD0016,52,15,0,1.73,2024-09-25
INV000329,STR0009,PRD0017,273,81,3,9.1,2024-09-15
INV000330,STR0009,PRD0018,120,36,2,4.0,2024-09-22
INV000331,STR0009,PRD0019,270,81,3,9.0,2024-09-25
INV000332,STR0009,PRD0020,277,83,2,9.23,2024-09-20
INV000333,STR0009,PRD0021,178,53,4,5.93,2024-09-08
INV000334,STR0009,PRD0022,236,70,1,7.87,2024-09-15
INV000335,STR0009,PRD0023,153,45,1,5.1,2024-09-12
INV000336,STR0009,PRD0024,197,59,0,6.57,2024-09-28
INV000337,STR0009,PRD0025,89,26,4,2.97,2024-09-04
INV000338,STR0009,PRD0026,213,63,0,7.1,2024-09-07
INV000339,STR0009,PRD0027,239,71,3,7.97,2024-09-28
INV000340,STR0009,PRD0028,54,16,4,1.8,2024-09-02
INV000341,STR0009,PRD0029,234,70,2,7.8,2024-09-16
INV000342,STR0009,PRD0030,235,70,4,7.83,2024-09-13
INV000343,STR0009,PRD0031,204,61,4,6.8,2024-09-22
INV000344,STR0009,PRD0032,94,28,0,3.13,2024-09-25
INV000345,STR0009,PRD0033,258,77,2,8.6,2024-09-18
INV000346,STR0009,PRD0034,117,35,3,3.9,2024-09-03
INV000347,STR0009,PRD0035,186,55,4,6.2,2024-09-22
INV000348,STR0009,PRD0036,113,33,3,3.77,2024-09-28
INV000349,STR0009,PRD0037,90,27,2,3.0,2024-09-06
INV000350,STR0009,PRD0038,173,51,3,5.77,2024-09-05
INV000351,STR0009,PRD0039,164,49,0,5.47,2024-09-11
INV000352,STR0010,PRD0001,191,57,4,6.37,2024-09-16
INV000353,STR0010,PRD0002,205,61,0,6.83,2024-09-23
INV000354,STR0010,PRD0003,230,69,0,7.67,2024-09-08
INV000355,STR0010,PRD0004,125,37,0,4.17,2024-09-17
INV000356,STR0010,PRD0005,133,39,2,4.43,2024-09-20
INV000357,STR0010,PRD0006,87,26,3,2.9,2024-09-08
INV000358,STR0010,PRD0007,298,89,3,9.93,2024-09-24
INV000359,STR0010,PRD0008,272,81,3,9.07,2024-09-29
INV000360,STR0010,PRD0009,276,82,2,9.2,2024-09-29
INV000361,STR0010,PRD0010,164,49,3,5.47,2024-09-15
INV000362,STR0010,PRD0011,158,47,0,5.27,2024-09-26
INV000363,STR0010,PRD0012,182,54,3,6.07,2024-09-07
INV000364,STR0010,PRD0013,243,72,0,8.1,2024-09-02
INV000365,STR0010,PRD0014,272,81,1,9.07,2024-09-01
INV000366,STR0010,PRD0015,109,32,1,3.63,2024-09-03
INV000367,STR0010,PRD0016,204,61,2,6.8,2024-09-01
INV000368,STR0010,PRD0017,278,83,4,9.27,2024-09-10
INV000369,STR0010,PRD0018,136,40,0,4.53,2024-09-09
INV000370,STR0010,PRD0019,154,46,0,5.13,2024-09-17
INV000371,STR0010,PRD0020,80,24,1,2.67,2024-09-26
INV000372,STR0010,PRD0021,133,39,3,4.43,2024-09-16
INV000373,STR0010,PRD0022,165,49,4,5.5,2024-09-26
INV000374,STR0010,PRD0023,289,86,3,9.63,2024-09-08
INV000375,STR0010,PRD0024,205,61,0,6.83,2024-09-21
INV000376,STR0010,PRD0025,241,72,3,8.03,2024-09-07
INV000377,STR0010,PRD0026,143,42,3,4.77,2024-09-06
INV000378,STR0010,PRD0027,82,24,3,2.73,2024-09-15
INV000379,STR0010,PRD0028,146,43,4,4.87,2024-09-08
INV000380,STR0010,PRD0029,92,27,3,3.07,2024-09-07
INV000381,STR0010,PRD0030,178,53,4,5.93,2024-09-21
INV000382,STR0010,PRD0031,264,79,4,8.8,2024-09-25
INV000383,STR0010,PRD0032,148,44,1,4.93,2024-09-12
INV000384,STR0010,PRD0033,177,53,1,5.9,2024-09-20
INV000385,STR0010,PRD0034,188,56,3,6.27,2024-09-20
INV000386,STR0010,PRD0035,179,53,1,5.97,2024-09-28
INV000387,STR0010,PRD0036,168,50,3,5.6,2024-09-28
INV000388,STR0010,PRD0037,172,51,4,5.73,2024-09-13
INV000389,STR0010,PRD0038,172,51,2,5.73,2024-09-10
INV000390,STR0010,PRD0039,111,33,3,3.7,2024-09-22
INV000391,STR0011,PRD0001,150,45,2,5.0,2024-09-09
INV000392,STR0011,PRD0002,134,40,2,4.47,2024-09-15
INV000393,STR0011,PRD0003,177,53,2,5.9,2024-09-27
INV000394,STR0011,PRD0004,134,40,0,4.47,2024-09-09
INV000395,STR0011,PRD0005,189,56,2,6.3,2024-09-08
INV000396,STR0011,PRD0006,124,37,4,4.13,2024-09-28
INV000397,STR0011,PRD0007,192,57,2,6.4,2024-09-16
INV000398,STR0011,PRD0008,191,57,0,6.37,2024-09-13
INV000399,STR0011,PRD0009,211,63,0,7.03,2024-09-11
INV000400,STR0011,PRD0010,101,30,2,3.37,2024-09-26
INV000401,STR0011,PRD0011,222,66,1,7.4,2024-09-17
INV000402,STR0011,PRD0012,274,82,3,9.13,2024-09-04
INV000403,STR0011,PRD0013,207,62,0,6.9,2024-09-15
INV000404,STR0011,PRD0014,93,27,1,3.1,2024-09-26
INV000405,STR0011,PRD0015,170,51,3,5.67,2024-09-13
INV000406,STR0011,PRD0016,168,50,4,5.6,2024-09-15
INV000407,STR0011,PRD0017,146,43,4,4.87,2024-09-08
INV000408,STR0011,PRD0018,233,69,2,7.77,2024-09-01
INV000409,STR0011,PRD0019,77,23,2,2.57,2024-09-24
INV000410,STR0011,PRD0020,152,45,0,5.07,2024-09-04
INV000411,STR0011,PRD0021,202,60,0,6.73,2024-09-10
INV000412,STR0011,PRD0022,233,69,1,7.77,2024-09-26
INV000413,STR0011,PRD0023,125,37,2,4.17,2024-09-07
INV000414,STR0011,PRD0024,77,23,0,2.57,2024-09-11
INV000415,STR0011,PRD0025,234,70,2,7.8,2024-09-14
INV000416,STR0011,PRD0026,123,36,0,4.1,2024-09-04
INV000417,STR0011,PRD0027,209,62,3,6.97,2024-09-04
INV000418,STR0011,PRD0028,50,15,3,1.67,2024-09-14
INV000419,STR0011,PRD0029,189,56,4,6.3,2024-09-13
INV000420,STR0011,PRD0030,123,36,0,4.1,2024-09-10
INV000421,STR0011,PRD0031,131,39,0,4.37,2024-09-01
